Date,Close,Volume,Open,High,Low,Log_Returns,EMA_10,RSI,MACD,Signal_Line
2020-05-11,78.7525,145946240,77.025,79.2625,76.81,0.01149401243130551,78.48317909541781,41.13070539419085,-2.7241252584264686,-3.117494807928698
2020-05-08,77.5325,134047960,76.41,77.5875,76.0725,-0.015612819940248563,78.31032835079638,40.121426764482685,-2.6206868763024715,-3.0181332216034527
2020-05-07,75.935,115215040,75.805,76.2925,75.4925,-0.02081949211111186,77.8784504688334,34.09340057005045,-2.6372159287545855,-2.9419497630336795
2020-05-06,75.1575,142333760,75.115,75.81,74.7175,-0.010291799563776738,77.38373220177279,32.00905722519556,-2.6821350903195906,-2.8899868284908616
2020-05-05,74.39,147751200,73.765,75.25,73.615,-0.010264387415206522,76.83941725599591,30.932962005172072,-2.747987594789933,-2.8615869817506763
2020-05-04,73.29,133567960,72.2925,73.4225,71.5793,-0.01489735026549114,76.19406866399665,25.49990478004196,-2.8560146271266404,-2.8604725108258693
2020-05-01,72.2675,240616720,71.5625,74.75,71.4625,-0.014049661741549433,75.48014708872452,24.541788856305004,-2.989670967252252,-2.886312202111146
2020-04-30,73.45,183063880,72.49,73.6325,72.0875,0.01623039042367702,75.11102943622915,27.657705148480105,-2.965986664305049,-2.9022470945499266
2020-04-29,71.9325,137280800,71.1825,72.4175,70.9725,-0.02087672333180739,74.53311499327839,27.66742837053971,-3.0346842997247023,-2.9287345355848817
2020-04-28,69.645,112004760,71.27,71.4575,69.55,-0.032317269148084186,73.6443668126823,21.675490501401498,-3.236402569073732,-2.9902681422826523
2020-04-27,70.7925,117087560,70.45,71.135,69.9875,0.016342152745077585,73.12584557401279,30.068226120857787,-3.2660234060956412,-3.04541919504525
2020-04-24,70.7425,126508720,69.3,70.7525,69.25,-0.0007065390480090968,72.69251001510136,27.832471216419208,-3.255999578621669,-3.087535271760534
2020-04-23,68.7575,124814320,68.9675,70.4375,68.7175,-0.028460702331272035,71.97705364871929,25.28038799636259,-3.3693883225822816,-3.1439058819248835
2020-04-22,69.025,117057360,68.4025,69.475,68.05,0.003882936310427119,71.44031662167941,22.10459788276195,-3.3984890385333983,-3.194822513246587
2020-04-21,67.0925,180991560,69.07,69.3125,66.3575,-0.028396493558131376,70.6498045086468,15.410857312370311,-3.536719069110106,-3.2632018244192906
2020-04-20,69.2325,130015000,69.4875,70.42,69.2125,0.0313981412921924,70.39211277980192,26.65260196905774,-3.434002209087737,-3.29736190135298
2020-04-17,70.7,215249920,71.1725,71.7362,69.215,0.02097516735224797,70.44809227438338,35.16576933975635,-3.1973265813313247,-3.277354837348649
2020-04-16,71.6725,157125160,71.845,72.0494,70.5875,0.013661558593441607,70.67071186085913,40.23262331838567,-2.8978818407092746,-3.2014602380207746
2020-04-15,71.1075,131154560,70.6,71.5825,70.1575,-0.00791431501788177,70.75012788615746,40.694542877391946,-2.6753210685329094,-3.0962324041232017
2020-04-14,71.7625,194994680,70.0,72.0625,69.5125,0.009169239015668303,70.93419554321973,45.55765595463138,-2.4182113915453556,-2.9606282016076326
2020-04-13,68.3125,131022920,67.0775,68.425,66.4575,-0.04926928955699786,70.45752362627069,39.92099898063203,-2.464427896566008,-2.861388140599308
2020-04-09,66.9975,162116480,67.175,67.5175,66.175,-0.01943746067479046,69.8284284214942,33.66662447791421,-2.5774530455529288,-2.804601121590032
2020-04-08,66.5175,168895280,65.685,66.8425,65.3075,-0.007190234325386754,69.22644143576798,35.532994923857885,-2.6749234267187205,-2.77866558261577
2020-04-07,64.8575,202887320,67.7,67.925,64.75,-0.025272515357777088,68.43208844744653,36.76572218382865,-2.8532273045355794,-2.793577926999732
2020-04-06,65.6175,201820280,62.725,65.7775,62.345,0.011649873087589477,67.92034509336534,35.38135593220342,-2.899781883400223,-2.8148187182798305
2020-04-03,60.3525,129880080,60.7,61.425,59.7435,-0.08364005696013188,66.544373258208,27.329260309840734,-3.3232103211614117,-2.916497038856147
2020-04-02,61.2325,165933960,60.085,61.2875,59.225,0.014475722608758887,65.57857812035199,32.74873911049981,-3.5468854752915604,-3.0425747261432297
2020-04-01,60.2275,176218560,61.625,62.18,59.7825,-0.016549035675226902,64.60565482574253,30.491185275529446,-3.761880134791909,-3.1864358078729658
2020-03-31,63.5725,197002000,63.9,65.6225,63.0,0.054051928261692875,64.41780849378934,42.65442404006678,-3.620615208362935,-3.2732716879709596
2020-03-30,63.7025,167976440,62.685,63.88,62.35,0.00204282137432796,64.28775240400945,37.403189066059234,-3.458306616905915,-3.310278673757951
2020-03-27,61.935,204216600,63.1875,63.9675,61.7625,-0.028138360269649793,63.85997923964409,30.303370786516865,-3.4327280154292623,-3.3347685420922137
2020-03-26,64.61,252560680,61.63,64.67,61.59,0.042283749563910726,63.99634665061789,35.257280033399454,-3.160178079623577,-3.2998504495984866
2020-03-25,61.38,303602040,62.6875,64.5625,61.075,-0.051285148378483976,63.520647259596444,31.72724711186251,-3.16829219738694,-3.2735387991561775
2020-03-24,61.72,287531080,59.09,61.9225,58.575,0.0055239783033698975,63.193256848760726,30.909609352723123,-3.111421011048975,-3.2411152415347373
2020-03-23,56.0925,336752840,57.02,57.1249,53.1525,-0.09560591374316477,61.90221014898604,28.546348314606746,-3.4803234033933137,-3.2889568739064527
2020-03-20,57.31,401693200,61.795,62.9575,57.0,0.021473014811850936,61.0672628491704,32.93402624856867,-3.632565181971998,-3.357678535519562
2020-03-19,61.195,271857040,61.8462,63.21,60.6525,0.06559035827065555,61.090487785684864,41.62799842705466,-3.4005316445966542,-3.3662491573349804
2020-03-18,61.6675,300233640,59.9425,62.5,59.28,0.007691562998120154,61.19539909737852,44.7875816993464,-3.142294182042221,-3.3214581622764285
2020-03-17,63.215,324055880,61.8775,64.4025,59.6,0.024784564931439074,61.56259926149151,46.172839506172835,-2.780714469989121,-3.2133094238189672
2020-03-16,60.5525,322423480,60.4875,64.77,60.0,-0.04303085742551644,61.378944850311235,50.34740316136878,-2.6781296304034754,-3.106273465135869
2020-03-13,69.4925,370732120,66.2225,69.98,63.2375,0.13770807574023827,62.85413669570919,61.20911928348488,-1.8540745038859185,-2.855833672885879
2020-03-12,62.0575,418474000,63.985,67.5,62.0,-0.11315745846627419,62.709293660125695,52.114384748700175,-1.7804236269404115,-2.6407516636967854
2020-03-11,68.8575,256379880,69.3475,70.305,67.965,0.10397777709151909,63.82714935828466,55.65482559383693,-1.1599800780293705,-2.3445973465633023
2020-03-10,71.335,285290080,69.285,71.61,67.3425,0.03534793886294985,65.19221311132381,57.77596658346492,-0.4630231086200922,-1.9682824989746603
2020-03-09,66.5425,286744840,65.9375,69.5225,65.75,-0.06954624929660111,65.43771981835584,54.42157286118709,-0.2940052766485053,-1.6334270545094296
2020-03-06,72.2575,226177000,70.5,72.705,70.3075,0.08239528656324495,66.67767985138205,56.934306569343065,0.29766402505742917,-1.247208838596058
2020-03-05,73.23,187572880,73.88,74.8875,72.8525,0.013369045239556945,67.8690107874944,61.20355488323722,0.8354087597266613,-0.8306853189315142
2020-03-04,75.685,219178280,74.11,75.85,73.2825,0.03297481714155007,69.2900997352227,62.695454545454545,1.4430388651258994,-0.37594048212003156
2020-03-03,72.33,319475400,75.9175,76.0,71.45,-0.045341009353339186,69.84280887427312,65.39756294153904,1.6350221230298416,0.0262520389099431
2020-03-02,74.7025,341397360,70.57,75.36,69.43,0.03227457791970985,70.72638907895073,66.13928455435438,1.9560628849428667,0.41221420811652787
2020-02-28,68.34,426884800,64.315,69.6025,64.0925,-0.08901831209375334,70.29250015550514,56.338715400993614,1.6777493749323469,0.6653212414796916
2020-02-27,68.38,320605520,70.275,71.5,68.24,0.000585137524009414,69.9447728545042,56.001072817486914,1.443768711819473,0.8210107355476479
2020-02-26,73.1625,198713720,71.6325,74.47,71.625,0.06760261040618394,70.52981415368524,58.40693006549757,1.6255072952858,0.9819100474952784
2020-02-25,72.02,230673440,75.2375,75.6325,71.5325,-0.015739136396610037,70.80075703483337,59.94708765233985,1.6582311735538724,1.1171742727069973
2020-02-24,74.545,222195320,74.315,76.045,72.3075,0.034459111659633265,71.48152848304548,54.93143331218583,1.866396819791774,1.2670187821239527
2020-02-21,78.2625,129705680,79.655,80.1125,77.625,0.0486655911910665,72.71443239521902,67.0543043569775,2.3047727896956474,1.4745695836382917
2020-02-20,80.075,100565960,80.6575,81.1625,79.5525,0.02289513442379311,74.0527174142701,63.190075842201196,2.7665514237833406,1.7329659516673015
2020-02-19,80.905,93983960,80.0,81.1425,80.0,0.010311931356549418,75.2985869753119,61.70642201834863,3.1630269755753204,2.018978156448905
2020-02-18,79.75,152762200,78.84,79.9375,78.6525,-0.014378885186817498,76.10793479798247,67.73413897280966,3.3454733255482267,2.2842771902687695
2020-02-14,81.2375,80113800,81.185,81.495,80.7125,0.0184802215555132,77.0405830165311,63.601938806422304,3.568951539053515,2.541212060025719
2020-02-13,81.2175,94747560,81.0475,81.555,80.8375,-0.0002462220319600746,77.80002246807089,62.45808313187242,3.7017740534630406,2.773324458713183
2020-02-12,81.8,113730280,80.3675,81.805,80.3675,0.007146502420194121,78.52729111023982,60.12920324664568,3.810119054171764,2.9806833778048993
2020-02-11,79.9025,94323120,80.9,80.975,79.6775,-0.02347010221457707,78.7773290901962,63.17987990601342,3.7002170569587065,3.1245901136356613
2020-02-10,80.3875,109348880,78.545,80.3875,78.4625,0.006051550066857419,79.07008743743324,60.590536512667676,3.6106332465272857,3.2217987402139863
2020-02-07,80.0075,117684040,80.5925,80.85,79.5,-0.004738311181356704,79.24052608517265,77.96955531583362,3.468986292525159,3.271236250676221
2020-02-06,81.3025,105425560,80.6425,81.305,80.0662,0.01605638610886197,79.61543043332307,79.21989824759751,3.4217815702439935,3.301345314589776
2020-02-05,80.3625,118826880,80.88,81.19,79.7375,-0.01162911692068179,79.75126126362795,69.70443349753695,3.270817396716083,3.295239731015038
2020-02-04,79.7125,136616520,78.8275,79.91,78.4086,-0.008121237826414931,79.74421376115015,71.63549430459855,3.06341449840545,3.2488746844931207
2020-02-03,77.165,173985600,76.075,78.3725,75.555,-0.03248042528859517,79.27526580457739,57.35955056179777,2.662789270402456,3.131657601674988
2020-01-31,77.3775,199588400,80.2325,80.67,77.0725,0.0027500543077086355,78.9302174764724,46.904512067156325,2.335515496093521,2.972429180558695
2020-01-30,80.9675,126743240,80.136,81.0225,79.6875,0.04535179892790682,79.30063248075014,52.77648156789547,2.3388706245284823,2.8457174693526524
2020-01-29,81.085,216599720,81.1125,81.9625,80.345,0.0014501475829272008,79.62506293879557,50.58593749999997,2.324218709490026,2.7414177173801275
2020-01-28,79.4225,162233960,78.15,79.6,78.0475,-0.020716283746587114,79.58823331356,48.96801638569402,2.1536313833545933,2.6238604505750205
2020-01-27,77.2375,161940040,77.515,77.9425,76.22,-0.02789661303765259,79.16082725654908,37.926350739510994,1.8211355422700706,2.463315468914031
2020-01-24,79.5775,146537520,80.0625,80.8325,79.3797,0.029846299189851475,79.23658593717651,45.657929573735764,1.726546087947213,2.3159615927206674
2020-01-23,79.8075,104471960,79.48,79.89,78.9125,0.002886095424909772,79.34038849405351,44.624308646971556,1.6511093805666661,2.182991150289867
2020-01-22,79.425,101832480,79.645,79.9975,79.3275,-0.004804304846279472,79.35577240422559,48.597032466578504,1.5426776653190473,2.054928453295703
2020-01-21,79.1425,110843240,79.2975,79.755,79.0,-0.0035631551091703864,79.3169956034573,46.2979482604817,1.4176080574718384,1.9274643741309303
2020-01-17,79.6825,137816480,79.0675,79.685,78.75,0.006799963239740573,79.38345094828324,49.04270986745217,1.3465408939736108,1.8112796780994667
2020-01-16,78.81,108829000,78.3975,78.925,78.0225,-0.011010095920591925,79.27918713950446,42.47092584201784,1.205915157398394,1.6902067739592521
2020-01-15,77.835,121923520,77.9625,78.875,77.3875,-0.01244869087774561,79.01660765959456,42.38131122833458,1.004217897604164,1.5530089986882345
2020-01-14,78.17,162613840,79.175,79.3925,78.0425,0.004294740744426425,78.86267899421372,45.26040866492548,0.8614725470804245,1.4147017083666724
2020-01-13,79.24,122086880,77.91,79.2675,77.7875,0.013595279598110948,78.93128281344758,57.01250422440008,0.825173796133555,1.296796125920049
2020-01-10,77.5825,140869080,77.65,78.1675,77.0625,-0.02113933553753054,78.68604957463893,50.63115763546798,0.6551086915896036,1.1684586390539597
2020-01-09,77.4075,170486160,76.8088,77.6075,76.55,-0.002258211166758625,78.45358601561367,36.12085769980508,0.5004410604900471,1.0348551233411771
2020-01-08,75.7975,132363800,74.29,76.11,74.289,-0.021018364551980633,77.97066128550209,31.534834992142535,0.24512663657456812,0.8769094259878554
